"Parti","Fylke","Stemmer"
"A","Akershus",101241
"DEM","Akershus",164
"ES","Akershus",103
"FRP","Akershus",73300
"H","Akershus",69505
"KRF","Akershus",9308
"KSP","Akershus",307
"KYST","Akershus",153
"MDG","Akershus",1181
"PP","Akershus",1595
"RV","Akershus",2566
"SP","Akershus",9435
"SV","Akershus",17040
"V","Akershus",14688
"A","Aust-Agder",19377
"DEM","Aust-Agder",48
"FRP","Aust-Agder",15538
"H","Aust-Agder",9721
"KRF","Aust-Agder",6663
"KSP","Aust-Agder",164
"KYST","Aust-Agder",32
"MDG","Aust-Agder",148
"PP","Aust-Agder",304
"RV","Aust-Agder",377
"SP","Aust-Agder",2609
"SV","Aust-Agder",2588
"V","Aust-Agder",2054
"A","Buskerud",52751
"DEM","Buskerud",86
"FRP","Buskerud",35764
"H","Buskerud",27588
"KRF","Buskerud",4500
"KSP","Buskerud",202
"KYST","Buskerud",109
"MDG","Buskerud",407
"NKP","Buskerud",99
"RV","Buskerud",884
"SP","Buskerud",8842
"SV","Buskerud",6514
"V","Buskerud",4324
"VIGRID","Buskerud",179
"A","Finnmark",16834
"DEM","Finnmark",26
"FRP","Finnmark",8277
"H","Finnmark",3970
"KRF","Finnmark",1026
"KSP","Finnmark",163
"KYST","Finnmark",976
"MDG","Finnmark",77
"RV","Finnmark",299
"SP","Finnmark",1613
"SV","Finnmark",2989
"V","Finnmark",847
"A","Hedmark",50855
"DEM","Hedmark",75
"DLF","Hedmark",58
"FRP","Hedmark",19326
"H","Hedmark",10994
"KRF","Hedmark",2652
"KYST","Hedmark",86
"MDG","Hedmark",347
"PP","Hedmark",2119
"RV","Hedmark",630
"SP","Hedmark",11096
"SV","Hedmark",7078
"V","Hedmark",2650
"A","Hordaland",81636
"DEM","Hordaland",332
"FRP","Hordaland",61147
"H","Hordaland",54066
"KRF","Hordaland",19138
"KSP","Hordaland",615
"KYST","Hordaland",335
"MDG","Hordaland",1083
"NKP","Hordaland",145
"PP","Hordaland",674
"RV","Hordaland",6794
"SALL","Hordaland",241
"SP","Hordaland",14768
"SV","Hordaland",14698
"V","Hordaland",12361
"A","Møre og Romsdal",42542
"DEM","Møre og Romsdal",74
"FRP","Møre og Romsdal",37967
"H","Møre og Romsdal",22356
"KRF","Møre og Romsdal",11713
"KSP","Møre og Romsdal",488
"KYST","Møre og Romsdal",223
"MDG","Møre og Romsdal",196
"RV","Møre og Romsdal",653
"SP","Møre og Romsdal",11879
"SV","Møre og Romsdal",5279
"V","Møre og Romsdal",5298
"A","Nord-Trøndelag",31466
"DEM","Nord-Trøndelag",37
"FRP","Nord-Trøndelag",12641
"H","Nord-Trøndelag",6465
"KRF","Nord-Trøndelag",2917
"KSP","Nord-Trøndelag",128
"KYST","Nord-Trøndelag",116
"MDG","Nord-Trøndelag",125
"RV","Nord-Trøndelag",447
"SP","Nord-Trøndelag",11259
"SV","Nord-Trøndelag",4685
"V","Nord-Trøndelag",2119
"A","Nordland",50912
"DEM","Nordland",74
"FRP","Nordland",31562
"H","Nordland",14905
"KRF","Nordland",4778
"KSP","Nordland",225
"KYST","Nordland",1139
"MDG","Nordland",343
"NKP","Nordland",66
"RV","Nordland",1829
"SFP","Nordland",68
"SP","Nordland",10736
"SV","Nordland",10045
"TPF","Nordland",64
"V","Nordland",2957
"A","Oppland",47728
"DEM","Oppland",49
"FRP","Oppland",18272
"H","Oppland",11643
"KRF","Oppland",3182
"KSP","Oppland",173
"KYST","Oppland",57
"MDG","Oppland",351
"PP","Oppland",837
"RV","Oppland",612
"SP","Oppland",12912
"SV","Oppland",5367
"V","Oppland",3103
"A","Oslo",113103
"DEM","Oslo",157
"DLF","Oslo",170
"FRP","Oslo",56953
"H","Oslo",69999
"KRF","Oslo",8786
"KSP","Oslo",292
"KYST","Oslo",145
"MDG","Oslo",1828
"NKP","Oslo",115
"NRA","Oslo",54
"PP","Oslo",1146
"RV","Oslo",12917
"SAMT","Oslo",264
"SFP","Oslo",72
"SP","Oslo",3126
"SV","Oslo",33205
"V","Oslo",20784
"A","Østfold",58613
"ABORT","Østfold",178
"DEM","Østfold",110
"FRP","Østfold",38853
"H","Østfold",22041
"KRF","Østfold",8589
"KSP","Østfold",250
"KYST","Østfold",129
"MDG","Østfold",374
"PP","Østfold",1320
"RV","Østfold",1041
"SP","Østfold",7250
"SV","Østfold",6501
"V","Østfold",3739
"A","Rogaland",59145
"DEM","Rogaland",128
"DLF","Rogaland",122
"FRP","Rogaland",60030
"H","Rogaland",44289
"KRF","Rogaland",25541
"KSP","Rogaland",687
"KYST","Rogaland",223
"MDG","Rogaland",571
"NKP","Rogaland",61
"PP","Rogaland",1386
"RV","Rogaland",908
"SP","Rogaland",13144
"SV","Rogaland",10609
"V","Rogaland",10053
"A","Sogn og Fjordane",17375
"DEM","Sogn og Fjordane",22
"FRP","Sogn og Fjordane",9287
"H","Sogn og Fjordane",7112
"KRF","Sogn og Fjordane",3984
"KYST","Sogn og Fjordane",124
"MDG","Sogn og Fjordane",109
"RV","Sogn og Fjordane",541
"SP","Sogn og Fjordane",14782
"SV","Sogn og Fjordane",3418
"V","Sogn og Fjordane",1952
"A","Sør-Trøndelag",66614
"DEM","Sør-Trøndelag",219
"FRP","Sør-Trøndelag",31885
"H","Sør-Trøndelag",22587
"KRF","Sør-Trøndelag",6189
"KSP","Sør-Trøndelag",230
"KYST","Sør-Trøndelag",262
"MDG","Sør-Trøndelag",834
"NKP","Sør-Trøndelag",107
"PP","Sør-Trøndelag",1026
"RV","Sør-Trøndelag",2057
"SP","Sør-Trøndelag",11803
"SV","Sør-Trøndelag",12852
"V","Sør-Trøndelag",5871
"A","Telemark",39296
"DEM","Telemark",68
"FRP","Telemark",21708
"H","Telemark",12405
"KRF","Telemark",6239
"KSP","Telemark",244
"KYST","Telemark",60
"MDG","Telemark",240
"PP","Telemark",348
"RV","Telemark",1147
"SP","Telemark",5184
"SV","Telemark",5020
"V","Telemark",2374
"A","Troms",30942
"DEM","Troms",49
"FRP","Troms",21224
"H","Troms",10846
"KRF","Troms",3042
"KSP","Troms",152
"KYST","Troms",954
"MDG","Troms",255
"NKP","Troms",70
"RV","Troms",1242
"SP","Troms",7015
"SV","Troms",6275
"V","Troms",2150
"A","Vest-Agder",24450
"DEM","Vest-Agder",461
"FRP","Vest-Agder",25296
"H","Vest-Agder",16214
"KRF","Vest-Agder",14337
"KSP","Vest-Agder",317
"KYST","Vest-Agder",78
"MDG","Vest-Agder",322
"NKP","Vest-Agder",34
"PP","Vest-Agder",623
"RV","Vest-Agder",427
"SP","Vest-Agder",3296
"SV","Vest-Agder",3647
"V","Vest-Agder",2876
"A","Vestfold",44169
"DEM","Vestfold",106
"FRP","Vestfold",35687
"H","Vestfold",25752
"KRF","Vestfold",6164
"KSP","Vestfold",299
"KYST","Vestfold",140
"MDG","Vestfold",495
"NPAT","Vestfold",183
"PP","Vestfold",522
"RV","Vestfold",848
"SP","Vestfold",4257
"SV","Vestfold",8551
"V","Vestfold",3944
